Dates,Emerging Market Stocks,Foreign Developed Stocks,US Stocks - Growth (Large Cap),US Stocks - Growth (Small Cap),US Stocks - Value (Large Cap),US Stocks - Momentum,US Stocks - Size (Large Cap),US Stocks - Size (Small Cap),US Government Bonds - Long Term,US Government Bonds - Short Term,Municipal Bonds,TIPS,US Corporate Bonds - High Yield,US Corporate Bonds - Investment Grade,Emerging Market Bonds - USD,Global Aggregate Bonds ex-US,Gold
28/01/2004,-0.003752192,-0.00135233,-0.009628937,-0.021703973,-0.014677454,-0.017932973,-0.013449188,-0.015625316,-0.007218296,-0.000203899,-0.003264133,-0.004082588,-0.003767698,-0.007907162,-0.006522915,5.84E-05,0.01305701
29/01/2004,-0.018622518,-0.021189455,0.006721244,-0.00846004,0.003369837,-0.003985682,0.005249605,-0.009438157,-0.001173345,-4.10E-06,-0.001094756,-0.000487434,-0.004874153,-0.000179425,-0.013658098,-0.006033213,-0.012902208
30/01/2004,-0.004016832,0.000499636,-0.003513143,-0.000323154,-0.000884469,0.004095281,-0.002634951,0.001299991,0.004579905,-4.10E-06,0.001638129,0.005272711,-0.000231201,0.002418225,0.004687856,0.002141163,-0.01467284
31/01/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
01/02/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
02/02/2004,-0.000507516,0.00288227,0.003701103,0.004670357,0.003007744,-0.001264231,0.003665845,0.002594881,-0.000989376,0.000195742,0.000218316,0.001748352,-0.006540635,-0.000266763,-0.006493561,0.000552676,-0.003509019
03/02/2004,0.001281675,0.003907036,0.000874634,-0.007051407,-0.004232255,0.000771988,0.000684018,-0.005607978,0.003871919,9.58E-05,0.002206997,0.001842154,-0.001474185,0.002063757,0.006397936,0.000882695,0.007775271
04/02/2004,-0.003118906,-0.009451346,-0.004383328,-0.0266358,-0.006377126,-0.016691511,-0.008213846,-0.024728829,-0.001636121,-4.10E-06,8.75E-05,0,-0.002336617,-0.000805932,-0.000337209,0.001002054,-0.005486965
05/02/2004,-0.003674345,0.004673473,-0.001586911,0.008955382,0.001248497,0.00191347,0.001858511,0.009341535,-0.003746165,-4.10E-06,-0.000594719,-0.002999839,-0.001874912,-0.001702588,-0.006348907,0.001031405,0.000744578
06/02/2004,0.012989521,0.011976023,0.013587549,0.029751567,0.013174348,0.021073727,0.012603524,0.025296863,0.0061107,-4.10E-06,0.003552944,0.004077433,0.000615223,0.002962217,0.003605521,0.001765235,0.011756403
07/02/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
08/02/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
09/02/2004,0.016778324,0.006861596,-0.00295585,-0.000798658,-0.000702773,-0.003170415,-0.00238505,0.001977382,0.002336173,0.000195682,0.001078167,0.002029955,0.004296489,0.004206481,0.004908009,0.000452619,0.004198488
10/02/2004,0.003026162,0.001503945,0.002616653,0.014216633,0.00720936,0.00385461,0.005035915,0.012011889,-0.002797104,-4.10E-06,9.90E-05,-0.002701445,-0.000455745,-0.002941096,-0.003091461,6.40E-05,0.006397899
11/02/2004,0.006047936,0.000876819,0.009058034,0.00362271,0.012394505,0.014589311,0.011036169,0.00610364,0.005259137,9.58E-05,0.003162815,0.004063626,0.002447448,0.006077943,0.007024319,0.000754254,-0.006860337
12/02/2004,0.009795958,0.010240767,-0.006562294,-0.005807074,-0.003793266,-0.005400833,-0.004790449,-0.006825778,-0.000581547,-4.10E-06,0.000113761,-0.002795009,0.002391397,-0.001776728,0.002686272,0.000752979,0.014410914
13/02/2004,0.00689844,-0.000619351,-0.005560095,-0.01310085,-0.004500021,-0.007770347,-0.005379104,-0.010265065,0.002559145,-4.10E-06,0.000949881,0.007730981,0.002821735,0.005696703,0.000475052,0.000701119,0.01068316
14/02/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
15/02/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
16/02/2004,-0.000193218,0.002756217,0,0,0,-4.10E-06,-8.20E-07,0,0,0.000195622,-1.64E-06,0,-1.34E-05,0,-1.07E-05,0.000357996,-0.010343369
